trade_no,side,entry_time,exit_time,holding_hours,entry,exit_price,sl,tp,sl_dist,tp_dist,rr_ratio,sl_mult,exit_type,result,risk_usd,pnl_usd,pnl_pct,balance,entry_close,entry_ema13,entry_ema34,entry_ema89,entry_rsi,entry_atr,entry_atr_pct,entry_volume,entry_vol_ma,ema13_ema34_gap_pct,ema34_ema89_gap_pct,close_vs_ema34_pct,vol_vs_ma_pct,entry_ema_stack,entry_rsi_zone,entry_vol_strength,cond_atr_gate_passed,cond_ema13_gt_ema34,cond_close_gt_ema34,cond_ema34_gt_ema89,cond_rsi_above_55,cond_rsi_below_45,cond_vol_above_ma,signal_reason,signal_type,outcome,ema_spread_13_89,atr_rsi_interaction,volume_surge,ema_alignment_score,rsi_distance_50,rsi_zone,atr_zone,trend_strength,ml_probability,ml_confidence,risk_multiplier
2,SELL,2021-05-07 04:00:00+00:00,2021-05-07 12:00:00+00:00,8.0,55853.0,56850.0272,56850.0272,54191.2879,997.0272,1661.7121,2.5,1.5,SL,SL,9.8999,-9.9098,-1.001,980.0802,55853.0,56264.6485,56489.0226,56543.2673,40.51,664.6848,0.011901,793.11,671.67,-0.3972,-0.0959,-1.1259,18.08,BEARISH,WEAK,AVERAGE,True,False,False,False,False,True,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=40.5(<45) | Vol=793>672 | ATR%=0.0119(>0.003),0,0,-0.49275327250145756,0.0048210951,1.1808030729376033,-3.0,9.490000000000002,2.0,3.0,0.4931,0.41963643396643946,NORMAL,1.0
3,BUY,2021-05-07 15:00:00+00:00,2021-05-08 08:00:00+00:00,17.0,57507.0,59058.4499,56576.1301,59058.4499,930.8699,1551.4499,2.5,1.5,TP,TP,9.8008,24.4922,2.499,1004.5724,57507.0,56715.5005,56571.8171,56556.0192,62.35,620.58,0.010791,613.35,527.37,0.254,0.0279,1.6531,16.3,BULLISH,STRONG,AVERAGE,True,True,True,True,True,False,True,EMA13>EMA34 | Close>EMA34 | EMA34>EMA89 | RSI=62.3(>55) | Vol=613>527 | ATR%=0.0108(>0.003),1,1,0.2819881990562721,0.006728188500000001,1.1630354400136527,3.0,12.350000000000001,4.0,3.0,0.2819,0.4434947570587443,NORMAL,1.0
8,SELL,2021-05-12 15:00:00+00:00,2021-05-12 18:00:00+00:00,3.0,55536.0,54035.6911,56436.1854,54035.6911,900.1854,1500.3089,2.5,1.5,TP,TP,9.6495,24.1141,2.499,989.0633,55536.0,56488.6024,56573.7626,56867.0995,38.57,600.1236,0.010806,1289.81,565.06,-0.1505,-0.5158,-1.8344,128.26,BEARISH,WEAK,VERY_HIGH,True,False,False,False,False,True,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=38.6(<45) | Vol=1290>565 | ATR%=0.0108(>0.003),0,1,-0.6655818624967733,0.004167874199999999,2.282607156762114,-3.0,11.43,1.0,3.0,0.6663,0.5024229564757434,NORMAL,1.0
9,SELL,2021-05-12 18:00:00+00:00,2021-05-12 22:00:00+00:00,4.0,54169.0,52412.6124,55222.8325,52412.6124,1053.8325,1756.3876,2.5,1.5,TP,TP,9.8906,24.7167,2.499,1013.78,54169.0,55816.0208,56270.7498,56726.6106,28.85,702.555,0.01297,1620.97,705.54,-0.8081,-0.8036,-3.7351,129.75,BEARISH,OVERSOLD,VERY_HIGH,True,False,False,False,False,True,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=28.9(<45) | Vol=1621>706 | ATR%=0.0130(>0.003),0,1,-1.6052251145778864,0.0037418450000000006,2.2974884485642204,-3.0,21.15,0.0,3.0,1.6117,0.5281305036455548,NORMAL,1.0
10,SELL,2021-05-12 22:00:00+00:00,2021-05-12 23:00:00+00:00,1.0,52922.0,50768.4678,54214.1193,50768.4678,1292.1193,2153.5322,2.5,1.5,TP,TP,10.1378,25.3344,2.499,1039.1144,52922.0,54989.2286,55811.1396,56500.9011,25.02,861.4129,0.016277,5576.71,976.94,-1.4727,-1.2208,-5.1766,470.83,BEARISH,OVERSOLD,VERY_HIGH,True,False,False,False,False,True,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=25.0(<45) | Vol=5577>977 | ATR%=0.0163(>0.003),0,1,-2.6754838782562365,0.0040725054,5.708344422380084,-3.0,24.98,0.0,4.0,2.6935000000000002,0.6500603842468349,HIGH_CONFIDENCE,1.5
11,SELL,2021-05-13 17:00:00+00:00,2021-05-14 00:00:00+00:00,7.0,48467.0,50237.309,50237.309,45516.4851,1770.309,2950.5149,2.5,1.5,SL,SL,10.3911,-10.4015,-1.001,1028.7129,48467.0,49972.6399,51836.6044,54234.9064,28.16,1180.206,0.024351,4232.74,2713.86,-3.5958,-4.4221,-6.5004,55.97,BEARISH,OVERSOLD,HIGH,True,False,False,False,False,True,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=28.2(<45) | Vol=4233>2714 | ATR%=0.0244(>0.003),0,0,-7.858898969170154,0.006857241600000001,1.559675149049693,-3.0,21.84,0.0,4.0,8.017900000000001,0.4670000075330985,NORMAL,1.0
12,SELL,2021-05-14 20:00:00+00:00,2021-05-15 00:00:00+00:00,4.0,49181.5,50265.369,50265.369,47375.0517,1083.869,1806.4483,2.5,1.5,SL,SL,10.2871,-10.2974,-1.001,1018.4154,49181.5,50279.4974,50486.2523,52315.5508,38.94,722.5793,0.014692,1296.35,695.88,-0.4095,-3.4967,-2.5844,86.29,BEARISH,WEAK,HIGH,True,False,False,False,False,True,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=38.9(<45) | Vol=1296>696 | ATR%=0.0147(>0.003),0,0,-3.8918703308386022,0.0057210648,1.8628930275334827,-3.0,11.060000000000002,1.0,3.0,3.9062,0.41963643396643946,NORMAL,1.0
13,SELL,2021-05-15 00:00:00+00:00,2021-05-15 01:00:00+00:00,1.0,49480.0,50538.679,50538.679,47715.5349,1058.679,1764.4651,2.5,1.5,SL,SL,10.1842,-10.1943,-1.001,1008.2211,49480.0,50032.867,50333.4216,52096.0718,42.69,705.786,0.014264,1271.69,750.06,-0.5971,-3.3835,-1.6955,69.55,BEARISH,WEAK,HIGH,True,False,False,False,False,True,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=42.7(<45) | Vol=1272>750 | ATR%=0.0143(>0.003),0,0,-3.960384590839725,0.0060893016,1.69545103058422,-3.0,7.310000000000002,2.0,3.0,3.9806,0.4550593829090845,NORMAL,1.0
14,SELL,2021-05-15 04:00:00+00:00,2021-05-15 17:00:00+00:00,13.0,49366.0,47579.3811,50437.9713,47579.3811,1071.9713,1786.6189,2.5,1.5,TP,TP,10.0822,25.1954,2.499,1033.4165,49366.0,49958.5888,50247.1856,51910.8788,43.29,714.6475,0.014477,846.03,763.12,-0.5744,-3.2049,-1.7537,10.86,BEARISH,WEAK,AVERAGE,True,False,False,False,False,True,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=43.3(<45) | Vol=846>763 | ATR%=0.0145(>0.003),0,1,-3.7608494503082865,0.0062670933,1.1086460844952302,-3.0,6.710000000000001,2.0,3.0,3.7793,0.4807669300788957,NORMAL,1.0
16,SELL,2021-05-16 16:00:00+00:00,2021-05-16 18:00:00+00:00,2.0,47359.5,45466.3253,48495.4048,45466.3253,1135.9048,1893.1747,2.5,1.5,TP,TP,10.2307,25.5666,2.499,1048.6386,47359.5,48436.0462,48695.193,50020.552,38.79,757.2699,0.01599,1407.44,966.67,-0.5322,-2.6496,-2.743,45.6,BEARISH,WEAK,ABOVE_AVG,True,False,False,False,False,True,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=38.8(<45) | Vol=1407>967 | ATR%=0.0160(>0.003),0,1,-3.1677095446687717,0.006202521,1.4559673932158856,-3.0,11.21,1.0,4.0,3.1818,0.4550593829090845,NORMAL,1.0
17,SELL,2021-05-16 19:00:00+00:00,2021-05-17 03:00:00+00:00,8.0,45618.5,43248.8795,47040.2723,43248.8795,1421.7723,2369.6205,2.5,1.5,TP,TP,10.4864,26.2055,2.499,1074.8441,45618.5,47528.1384,48263.829,49761.5195,30.22,947.8482,0.020778,4764.82,1383.82,-1.5243,-3.0097,-5.481,244.32,BEARISH,WEAK,VERY_HIGH,True,False,False,False,False,True,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=30.2(<45) | Vol=4765>1384 | ATR%=0.0208(>0.003),0,1,-4.48816901581954,0.0062791116,3.4432368371609026,-3.0,19.78,1.0,4.0,4.534,0.4807669300788957,NORMAL,1.0
18,SELL,2021-05-17 03:00:00+00:00,2021-05-17 06:00:00+00:00,3.0,42950.5,44645.5634,44645.5634,40125.3943,1695.0634,2825.1057,2.5,1.5,SL,SL,10.7484,-10.7592,-1.001,1064.0849,42950.5,45540.4411,46979.4189,48958.3634,28.9,1130.0423,0.02631,5089.8,2088.96,-3.063,-4.0421,-8.5759,143.65,BEARISH,OVERSOLD,VERY_HIGH,True,False,False,False,False,True,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=28.9(<45) | Vol=5090>2089 | ATR%=0.0263(>0.003),0,0,-6.981283814728181,0.0076035899999999995,2.4365234375,-3.0,21.1,0.0,4.0,7.1051,0.41963643396643946,NORMAL,1.0
19,SELL,2021-05-17 06:00:00+00:00,2021-05-19 01:00:00+00:00,43.0,44346.0,41311.5349,46166.6791,41311.5349,1820.6791,3034.4651,2.5,1.5,TP,TP,10.6408,26.5915,2.499,1090.6764,44346.0,45005.4032,46509.0538,48639.2592,39.13,1213.786,0.027371,4740.85,2661.62,-3.233,-4.3796,-4.6508,78.12,BEARISH,WEAK,HIGH,True,False,False,False,False,True,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=39.1(<45) | Vol=4741>2662 | ATR%=0.0274(>0.003),0,1,-7.4710348384582295,0.0107102723,1.7811896514153036,-3.0,10.869999999999997,1.0,4.0,7.6126000000000005,0.4434947570587443,NORMAL,1.0
20,SELL,2021-05-19 01:00:00+00:00,2021-05-19 11:00:00+00:00,10.0,40891.0,38457.6728,42350.9963,38457.6728,1459.9963,2433.3272,2.5,1.5,TP,TP,10.9068,27.256,2.499,1117.9324,40891.0,42971.3918,43847.1797,45710.1644,27.63,973.3309,0.023803,6554.78,1759.53,-1.9974,-4.0756,-6.742,272.53,BEARISH,OVERSOLD,VERY_HIGH,True,False,False,False,False,True,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=27.6(<45) | Vol=6555>1760 | ATR%=0.0238(>0.003),0,1,-5.991605228179848,0.0065767689,3.725301643052406,-3.0,22.37,0.0,4.0,6.0729999999999995,0.4550593829090845,NORMAL,1.0
21,SELL,2021-05-19 11:00:00+00:00,2021-05-19 12:00:00+00:00,1.0,38670.5,35572.87,40529.078,35572.87,1858.578,3097.63,2.5,1.5,TP,TP,11.1793,27.9371,2.499,1145.8695,38670.5,40400.2672,42034.3115,44519.9971,27.48,1239.052,0.032041,13690.14,3296.83,-3.8874,-5.5833,-8.0025,315.25,BEARISH,OVERSOLD,VERY_HIGH,True,False,False,False,False,True,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=27.5(<45) | Vol=13690>3297 | ATR%=0.0320(>0.003),0,1,-9.253661653989637,0.0088048668,4.152516204960523,-3.0,22.52,0.0,4.0,9.4707,0.4312010598167796,NORMAL,1.0
22,SELL,2021-05-19 14:00:00+00:00,2021-05-20 07:00:00+00:00,17.0,37409.5,40688.2511,40688.2511,31944.9148,3278.7511,5464.5852,2.5,1.5,SL,SL,11.4587,-11.4702,-1.001,1134.3994,37409.5,38839.0415,41075.4823,43969.7829,34.82,2185.8341,0.05843,21782.02,7951.47,-5.4447,-6.5825,-8.925,173.94,BEARISH,WEAK,VERY_HIGH,True,False,False,False,False,True,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=34.8(<45) | Vol=21782>7951 | ATR%=0.0584(>0.003),0,0,-11.668789476784065,0.020345326,2.7393702045030666,-3.0,15.18,1.0,4.0,12.0272,0.41963643396643946,NORMAL,1.0
23,SELL,2021-05-21 14:00:00+00:00,2021-05-21 21:00:00+00:00,7.0,37790.0,34162.0859,39966.7485,34162.0859,2176.7485,3627.9141,2.5,1.5,TP,TP,11.344,28.3486,2.499,1162.748,37790.0,40222.9363,40271.4987,41358.5805,37.05,1451.1656,0.038401,20806.92,2431.23,-0.1206,-2.6284,-6.1619,755.82,BEARISH,WEAK,VERY_HIGH,True,False,False,False,False,True,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=37.1(<45) | Vol=20807>2431 | ATR%=0.0384(>0.003),0,1,-2.7458490747766238,0.014227570499999998,8.558186596907737,-3.0,12.950000000000003,1.0,4.0,2.749,0.4807669300788957,NORMAL,1.0
24,SELL,2021-05-21 21:00:00+00:00,2021-05-23 13:00:00+00:00,40.0,36522.0,32698.8486,38815.8908,32698.8486,2293.8908,3823.1514,2.5,1.5,TP,TP,11.6275,29.0571,2.499,1191.8051,36522.0,37739.4383,39011.4523,40661.4932,38.43,1529.2606,0.041872,9060.51,3682.0,-3.2606,-4.058,-6.3813,146.08,BEARISH,WEAK,VERY_HIGH,True,False,False,False,False,True,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=38.4(<45) | Vol=9061>3682 | ATR%=0.0419(>0.003),0,1,-7.18629511618623,0.0160914096,2.460757740358501,-3.0,11.57,1.0,4.0,7.3186,0.4434947570587443,NORMAL,1.0
25,SELL,2021-05-23 13:00:00+00:00,2021-05-24 00:00:00+00:00,11.0,33595.0,35411.2802,35411.2802,30567.8663,1816.2802,3027.1337,2.5,1.5,SL,SL,11.9181,-11.93,-1.001,1179.8751,33595.0,35470.8365,36644.7145,38349.5783,29.31,1210.8535,0.036043,9685.24,2755.17,-3.2034,-4.4456,-8.3224,251.53,BEARISH,OVERSOLD,VERY_HIGH,True,False,False,False,False,True,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=29.3(<45) | Vol=9685>2755 | ATR%=0.0360(>0.003),0,0,-7.506580065836091,0.010564203299999998,3.515296696755554,-3.0,20.69,0.0,4.0,7.648999999999999,0.4312010598167796,NORMAL,1.0
