trade_no,side,entry_time,exit_time,entry,exit_price,sl,tp,exit_type,result,risk_usd,pnl_usd,balance,month,year,pnl_pct
1,BUY,2021-05-06 10:00:00+00:00,2021-05-06 18:00:00+00:00,58050.5,56450.173,56450.173,59906.8794,SL,SL,10.0,-10.01,989.99,2021-05,2021,-1.001
2,SELL,2021-05-07 04:00:00+00:00,2021-05-07 12:00:00+00:00,55853.0,57514.7069,57514.7069,53925.42,SL,SL,9.8999,-9.9098,980.0802,2021-05,2021,-1.001
3,BUY,2021-05-07 15:00:00+00:00,2021-05-08 08:00:00+00:00,57507.0,59306.6792,55955.5524,59306.6792,TP,TP,9.8008,28.4125,1008.4927,2021-05,2021,2.899
4,BUY,2021-05-08 08:00:00+00:00,2021-05-09 12:00:00+00:00,58899.5,57372.1214,57372.1214,60671.2592,SL,SL,10.0849,-10.095,998.3977,2021-05,2021,-1.001
5,BUY,2021-05-10 03:00:00+00:00,2021-05-10 09:00:00+00:00,59390.5,58073.5127,58073.5127,60918.2053,SL,SL,9.984,-9.994,988.4038,2021-05,2021,-1.001
6,SELL,2021-05-10 20:00:00+00:00,2021-05-12 03:00:00+00:00,55296.0,57468.0661,57468.0661,52776.4034,SL,SL,9.884,-9.8939,978.5098,2021-05,2021,-1.001
7,SELL,2021-05-12 15:00:00+00:00,2021-05-12 18:00:00+00:00,55536.0,53795.6416,57036.3089,53795.6416,TP,TP,9.7851,28.367,1006.8768,2021-05,2021,2.899
8,SELL,2021-05-12 18:00:00+00:00,2021-05-12 22:00:00+00:00,54169.0,52131.5904,55925.3876,52131.5904,TP,TP,10.0688,29.1894,1036.0662,2021-05,2021,2.899
9,SELL,2021-05-12 22:00:00+00:00,2021-05-12 23:00:00+00:00,52922.0,50423.9027,55075.5322,50423.9027,TP,TP,10.3607,30.0356,1066.1017,2021-05,2021,2.899
10,SELL,2021-05-13 17:00:00+00:00,2021-05-14 15:00:00+00:00,48467.0,51417.5149,51417.5149,45044.4027,SL,SL,10.661,-10.6717,1055.4301,2021-05,2021,-1.001
11,SELL,2021-05-14 20:00:00+00:00,2021-05-15 19:00:00+00:00,49181.5,47086.02,50987.9483,47086.02,TP,TP,10.5543,30.5969,1086.027,2021-05,2021,2.899
12,SELL,2021-05-15 19:00:00+00:00,2021-05-16 18:00:00+00:00,48118.5,45821.9834,50098.2557,45821.9834,TP,TP,10.8603,31.4839,1117.5109,2021-05,2021,2.899
13,SELL,2021-05-16 18:00:00+00:00,2021-05-17 03:00:00+00:00,45431.5,42870.828,47638.9759,42870.828,TP,TP,11.1751,32.3966,1149.9076,2021-05,2021,2.899
14,SELL,2021-05-17 03:00:00+00:00,2021-05-17 11:00:00+00:00,42950.5,45775.6057,45775.6057,39673.3773,SL,SL,11.4991,-11.5106,1138.397,2021-05,2021,-1.001
15,SELL,2021-05-17 15:00:00+00:00,2021-05-19 04:00:00+00:00,43375.0,40071.1236,46223.1693,40071.1236,TP,TP,11.384,33.0021,1171.3991,2021-05,2021,2.899
16,SELL,2021-05-19 04:00:00+00:00,2021-05-19 12:00:00+00:00,39303.0,36224.8678,41956.5623,36224.8678,TP,TP,11.714,33.9589,1205.358,2021-05,2021,2.899
17,SELL,2021-05-19 12:00:00+00:00,2021-05-19 13:00:00+00:00,35082.0,30264.0278,39235.4243,30264.0278,TP,TP,12.0536,34.9433,1240.3013,2021-05,2021,2.899
18,SELL,2021-05-21 14:00:00+00:00,2021-05-21 21:00:00+00:00,37790.0,33581.6196,41417.9141,33581.6196,TP,TP,12.403,35.9563,1276.2576,2021-05,2021,2.899
19,SELL,2021-05-21 21:00:00+00:00,2021-05-23 16:00:00+00:00,36522.0,32087.1444,40345.1514,32087.1444,TP,TP,12.7626,36.9987,1313.2563,2021-05,2021,2.899
20,SELL,2021-05-23 16:00:00+00:00,2021-05-24 00:00:00+00:00,32205.0,35482.9707,35482.9707,28402.554,SL,SL,13.1326,-13.1457,1300.1106,2021-05,2021,-1.001
